Period,Mean_Return,Variance,Target_Return
21,-0.0128451,0.0503139,0.02
22,-0.00832226,0.0100359,0.02
23,-0.0390505,0.00833728,0.02
24,-0.00965038,0.00839091,0.02
25,-0.00427342,0.00901158,0.02
26,0.00557851,0.00521971,0.02
27,-0.0174257,0.00400838,0.02
28,-0.0249864,0.00211139,0.02
29,0.00387268,0.00147415,0.02
30,-0.0164634,0.0036137,0.02
31,0.00862132,0.00704108,0.02
32,-0.0363853,0.0161508,0.02
33,0.0290204,0.00504302,0.02
34,0.0187586,0.00888964,0.02
35,0.0242799,0.00352001,0.02
36,-0.0143682,0.00147016,0.02
37,-0.00312624,0.00249144,0.02
38,0.0262525,0.00661809,0.02
39,-0.0198459,0.00736605,0.02
40,0.00850347,0.00372243,0.02
41,0.0213092,0.00257287,0.02
42,0.0420974,0.00222011,0.02
43,0.00568343,0.00758821,0.02
44,0.00147187,0.0035831,0.02
45,0.015127,0.00367263,0.02
46,0.0171878,0.00387545,0.02
47,-0.0379335,0.00574344,0.02
48,0.00643876,0.00470141,0.02
49,0.00963223,0.00706633,0.02
50,0.0207165,0.00795522,0.02

1,0.0365773,0.00517691,0.025
2,-0.00364039,0.00350074,0.025
3,-0.000298889,0.00127564,0.025
4,0.00776758,0.00468657,0.025
5,0.0484466,0.00686176,0.025
6,0.0270843,0.00830867,0.025
7,-0.00692529,0.00518178,0.025
8,0.000490872,0.0161904,0.025
9,-0.0113482,0.00660547,0.025
10,-0.00145438,0.00733902,0.025
11,0.0506892,0.0171325,0.025
12,-0.00314572,0.0215115,0.025
13,-0.025883,0.0100134,0.025
14,0.0244174,0.0106113,0.025
15,0.0323518,0.0102352,0.025
16,0.0175224,0.0060704,0.025
17,0.00986939,0.0148562,0.025
18,-0.0117723,0.052029,0.025
19,-0.065954,0.0914208,0.025
20,-0.00816898,0.0569285,0.025
21,-0.00229598,0.085588,0.025
22,-0.0111214,0.0146596,0.025
23,-0.0514702,0.0132224,0.025
24,-0.0121684,0.0120291,0.025
25,-0.00441874,0.0119855,0.025
26,0.00625765,0.00706321,0.025
27,-0.0206157,0.0059379,0.025
28,-0.0298641,0.00304843,0.025
29,0.00471784,0.00232785,0.025
30,-0.0223565,0.00540497,0.025
31,0.00862487,0.010937,0.025
32,-0.0447881,0.0241683,0.025
33,0.0378384,0.00733622,0.025
34,0.0241103,0.0128173,0.025
35,0.0295595,0.00457608,0.025
36,-0.0186668,0.00227907,0.025
37,-0.00173263,0.00367194,0.025
38,0.0302116,0.00972808,0.025
39,-0.0225162,0.0112131,0.025
40,0.00886751,0.00557823,0.025
41,0.0258289,0.00373728,0.025
42,0.0516076,0.00329605,0.025
43,0.00771584,0.011366,0.025
44,-0.000383796,0.00541887,0.025
45,0.018826,0.00562839,0.025
46,0.0211317,0.00519155,0.025
47,-0.0493983,0.00929044,0.025
48,0.00717199,0.00688784,0.025
49,0.0134593,0.0113249,0.025
50,0.0244959,0.0114919,0.025

1,0.0437089,0.00687651,0.03
2,-0.00585089,0.00502623,0.03
3,-0.00307821,0.00210859,0.03
4,0.00875989,0.00730542,0.03
5,0.0558714,0.00967966,0.03
6,0.0352371,0.0127321,0.03
7,-0.00735435,0.00782684,0.03
8,0.000121149,0.0224492,0.03
9,-0.0169036,0.010332,0.03
10,-0.00346903,0.0107553,0.03
11,0.0595112,0.0242853,0.03
12,-0.00190482,0.0318593,0.03
13,-0.033694,0.0139323,0.03
14,0.0298637,0.0143387,0.03
15,0.0375555,0.0151206,0.03
16,0.0189226,0.00906617,0.03
17,0.0102443,0.0209318,0.03
18,-0.0158227,0.0741664,0.03
19,-0.0816076,0.124492,0.03
20,-0.009141,0.0731813,0.03
21,0.0110995,0.132149,0.03
22,-0.0139384,0.0207422,0.03
23,-0.0636226,0.0192056,0.03
24,-0.0144549,0.016202,0.03
25,-0.00444706,0.0159447,0.03
26,0.0080189,0.00942718,0.03
27,-0.0250778,0.00872865,0.03
28,-0.0347205,0.00418082,0.03
29,0.00555274,0.003453,0.03
30,-0.0282391,0.00757587,0.03
31,0.00835533,0.0161948,0.03
32,-0.0532567,0.0338513,0.03
33,0.0468054,0.0101961,0.03
34,0.0294984,0.0175038,0.03
35,0.0348998,0.00582522,0.03
36,-0.022897,0.00335376,0.03
37,-0.000310566,0.00512638,0.03
38,0.0342692,0.013481,0.03
39,-0.0248281,0.0158757,0.03
40,0.00896981,0.00798526,0.03
41,0.030386,0.00515954,0.03
42,0.0611437,0.00468169,0.03
43,0.00921329,0.0159611,0.03
44,-0.00206277,0.00764997,0.03
45,0.0227598,0.00747001,0.03
46,0.0245558,0.00702187,0.03
47,-0.0610036,0.0137831,0.03
48,0.0078883,0.00957389,0.03
